appid,name,median_playtime
34900,Bad Rats: the Rats' Revenge,276
34920,Razor2: Hidden Skies,28
35000,Mini Ninjas,53
35130,Lara Croft and the Guardian of Light,57
35140,Batman: Arkham Asylum Game of the Year Edition,545
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,269
35460,The Ball,14
35480,Dwarfs!?,57
35700,Trine Enchanted Edition,304
35720,Trine 2: Complete Story,319
36000,Foreign Legion: Buckets of Blood,160
37000,The Void,34
37260,Emerald City Confidential™,38
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",10
37500,Magnetis ,49
37600,Windosill,31
37800,Quantz,5
38210,Roogoo,4
38400,Fallout: A Post Nuclear Role Playing Game,49
38410,Fallout 2: A Post Nuclear Role Playing Game,77
38420,Fallout Tactics: Brotherhood of Steel,14
38600,Faerie Solitaire,262
38700,Toki Tori,108
38720,RUSH,56
38740,EDGE,43
39000,Moonbase Alpha,46
39120,RIFT,1997
39140,FINAL FANTASY VII,2805
39150,FINAL FANTASY VIII,2470
39190,Dungeon Siege,347
39200,Dungeon Siege II,1502
39210,FINAL FANTASY XIV Online,9324
39500,Gothic® 3,1652
39510,Gothic II: Gold Edition,132
39520,The Guild Gold Edition,39
39540,SpellForce - Platinum Edition,2886
39650,The Guild II,1018
39680,The Guild II Renaissance,1590
39690,ArcaniA,571
39800,Nation Red,222
40100,Supreme Commander 2,2894
40300,Risen,650
40350,Lost Horizon,34
40380,nail'd,210
40390,Risen 2: Dark Waters,1257
40400,AI War: Fleet Command,338
40700,Machinarium,241
40720,Samorost 2,53
40930,The Misadventures of P.B. Winterbottom,19
40950,Stronghold HD,665
40970,Stronghold Crusader HD,183
40980,Stronghold Legends: Steam Edition,519
40990,Mafia,32
41000,Serious Sam HD: The First Encounter,271
41070,Serious Sam 3: BFE,215
41100,Hammerfight,254
41300,Altitude,657
41500,Torchlight,1144
41700,S.T.A.L.K.E.R.: Call of Pripyat,3186
41740,Cargo! The Quest for Gravity,540
41800,Gratuitous Space Battles,333
41900,The Bard's Tale,77
42120,Lead and Gold: Gangs of the Wild West,128
42140,Hamilton's Great Adventure,184
42170,Krater,369
42500,DogFighter,63
42670,Singularity™,148
42700,Call of Duty®: Black Ops,517
42810,For The Glory: A Europa Universalis Game,44
42910,Magicka,369
42960,Victoria II,4888
42980,Victoria I Complete,17
42990,Sword of the Stars II: Enhanced Edition,74
43000,Front Mission Evolved,312
43100,World of Zoo,115
43190,The Haunted: Hells Reach,333
44350,GRID 2,243
44360,F1 2011,3
44680,RACE Injection,1
45100,Secret of the Magic Crystals,176
45300,Wings of Prey,1154
45400,Fortix,287
45450,Fortix 2,487
45700,Devil May Cry 4,946
45710,Dark Void™,143
45720,Lost Planet: Extreme Condition Colonies Edition,109
45740,Dead Rising® 2,993
45750,Lost Planet® 2,879
45760,Ultra Street Fighter® IV,1056
45770,Dead Rising 2: Off the Record,621
46260,Star Wolves 3: Civil War,422
46400,Greed: Black Border,28
46410,Avencast: Rise of the Mage,56
46440,Future Wars,3
46450,Grotesque Tactics: Evil Heroes,20
46480,Still Life,13
46500,Syberia,387
46510,Syberia II,227
46520,Wasteland Angel,101
46540,Trapped Dead,157
46570,Grotesque Tactics 2 – Dungeons and Donuts,105
46790,Armada 2526,399
47400,Stronghold 3 Gold,758
47410,Stronghold Kingdoms,421
47700,Command & Conquer 4: Tiberian Twilight,267
47780,Dead Space™ 2,272
47790,Medal of Honor™,166
47800,RISK™: Factions,1754
47810,Dragon Age: Origins - Ultimate Edition,464
47870,Need For Speed: Hot Pursuit,415
47890,The Sims™ 3,499
48000,LIMBO,127
48110,Silent Hunter 5®: Battle of the Atlantic,1520
48190,Assassin’s Creed® Brotherhood,471
48240,Anno 2070™,846
48700,Mount & Blade: Warband,1884
48720,Mount & Blade: With Fire & Sword,713
48950,Greed Corp,49
49470,Magic: The Gathering - Duels of the Planeswalkers 2012,935
49520,Borderlands 2,1139
49600,Beat Hazard,633
49800,Flight of the Icarus,22
50000,Nimbus,1
50130,Mafia II,988
50300,Spec Ops: The Line,301
50510,Burn Zombie Burn!,3
55000,Flotilla,257
55040,Atom Zombie Smasher,101
55100,Homefront,126
55110,Red Faction®: Armageddon™,436
55140,MX vs. ATV Reflex,1024
55150,"Warhammer 40,000: Space Marine",537
55230,Saints Row: The Third,1033
57200,Puzzle Dimension,8
57300,Amnesia: The Dark Descent,41
57640,Broken Sword: Director's Cut,1177
57650,Dungeons,112
57680,The First Templar - Steam Special Edition,36
57690,Tropico 4,268
57700,Who's That Flying?!,25
57740,Jagged Alliance - Back in Action,244
57800,Doc Clock: The Toasted Sandwich of Time,16
57900,Duke Nukem Forever,472
58200,Jolly Rover,3
58230,MacGuffin's Curse,229
58400,Turba,14
